Date,Region,Cohort,Format,Device,Gender,Age,Income,Spends,Impressions,Clicks,Views,Install,Registration
01-09-2024,AHD,InMarket for Finance,NoSkip,Android,Males,3544,T30Inc,₹43,287,8,-,-,-
02-09-2024,AHD,InMarket for Finance,NoSkip,Android,Males,3544,T30Inc,"₹17,233","121,159","1,181",-,2,-
03-09-2024,AHD,InMarket for Finance,NoSkip,Android,Males,3544,T30Inc,"₹27,448","223,412","2,361",-,5,-
04-09-2024,AHD,InMarket for Finance,NoSkip,Android,Males,3544,T30Inc,"₹24,521","193,313","2,341",-,6,1
05-09-2024,AHD,InMarket for Finance,NoSkip,Android,Males,3544,T30Inc,"₹1,768","19,701",143,-,2,-
06-09-2024,AHD,InMarket for Finance,NoSkip,Android,Males,3544,T30Inc,₹309,"3,443",25,-,-,-
10-09-2024,AHD,InMarket for Finance,NoSkip,Android,Males,3544,T30Inc,₹6,68,-,-,-,-
11-09-2024,AHD,InMarket for Finance,NoSkip,Android,Males,3544,T30Inc,₹244,"2,133",15,-,-,-
12-09-2024,AHD,InMarket for Finance,NoSkip,Android,Males,3544,T30Inc,"₹1,866","16,976",140,-,-,-
13-09-2024,AHD,InMarket for Finance,NoSkip,Android,Males,3544,T30Inc,"₹1,504","14,137",133,-,-,-
01-09-2024,AHD,InMarket for Finance,NoSkip,Android,Males,2534,T30Inc,₹54,347,10,-,-,-
02-09-2024,AHD,InMarket for Finance,NoSkip,Android,Males,2534,T30Inc,"₹45,064","289,276","3,201",-,6,-
03-09-2024,AHD,InMarket for Finance,NoSkip,Android,Males,2534,T30Inc,"₹44,507","358,688","4,057",-,3,1
04-09-2024,AHD,InMarket for Finance,NoSkip,Android,Males,2534,T30Inc,"₹41,151","325,041","3,862",-,8,-
05-09-2024,AHD,InMarket for Finance,NoSkip,Android,Males,2534,T30Inc,"₹2,314","25,636",205,-,3,-
06-09-2024,AHD,InMarket for Finance,NoSkip,Android,Males,2534,T30Inc,₹498,"5,381",50,-,-,-
10-09-2024,AHD,InMarket for Finance,NoSkip,Android,Males,2534,T30Inc,₹24,288,2,-,-,-
11-09-2024,AHD,InMarket for Finance,NoSkip,Android,Males,2534,T30Inc,₹689,"6,987",53,-,-,-
12-09-2024,AHD,InMarket for Finance,NoSkip,Android,Males,2534,T30Inc,"₹3,020","28,233",336,-,-,-
13-09-2024,AHD,InMarket for Finance,NoSkip,Android,Males,2534,T30Inc,"₹2,301","21,491",196,-,-,-
14-09-2024,AHD,InMarket for Finance,NoSkip,Android,Males,2534,T30Inc,₹0,-,-,-,1,-
02-09-2024,AHD,InMarket for Finance,NoSkip,iOS,Males,2544,AllInc,"₹18,697","51,420",181,-,1,-
03-09-2024,AHD,InMarket for Finance,NoSkip,iOS,Males,2544,AllInc,"₹19,070","69,690",243,-,1,-
04-09-2024,AHD,InMarket for Finance,NoSkip,iOS,Males,2544,AllInc,"₹8,543","42,771",146,-,-,-
05-09-2024,AHD,InMarket for Finance,NoSkip,iOS,Males,2544,AllInc,"₹12,287","53,138",178,-,1,-
06-09-2024,AHD,InMarket for Finance,NoSkip,iOS,Males,2544,AllInc,"₹11,622","49,635",176,-,-,1
